week,category,weekly_rank,show_title,season_title,runtime,weekly_views,imdb_tconst
2023-09-24,TV (Non-English),4,KENGAN ASHURA,2.0,5.0667,2300000.0,tt9058134
2023-09-24,TV (Non-English),5,Destined with You,1.0,10.95,1700000.0,tt27974068
2023-09-24,TV (Non-English),6,Song of the Bandits,1.0,8.6333,1700000.0,tt21627436
2023-09-24,TV (Non-English),7,A Time Called You,1.0,12.1833,1600000.0,tt21627438
2023-09-24,TV (Non-English),8,Class Act,1.0,6.3167,1500000.0,tt0108727
2023-09-24,TV (Non-English),9,Ragnarok,3.0,4.4,1200000.0,tt9251798
2023-09-24,TV (Non-English),10,Infamy,1.0,6.35,1100000.0,tt28658091
2023-09-17,Films (English),1,Love at First Sight,,1.5167,14100000.0,tt2183014
2023-09-17,Films (English),2,You Are So Not Invited to My Bat Mitzvah,,1.7333,4300000.0,tt21276878
2023-09-17,Films (English),3,Woody Woodpecker,,1.5167,3500000.0,tt2114504
2023-09-17,Films (English),5,Fifty Shades Freed,,1.75,3400000.0,tt4477536
2023-09-17,Films (English),6,The Croods,,1.6333,3200000.0,tt0481499
2023-09-17,Films (English),7,All My Life,,1.5333,3000000.0,tt8305852
2023-09-17,Films (English),8,Leatherface,,1.4667,2900000.0,tt2620590
2023-09-17,Films (English),9,The Boss Baby,,1.6333,2800000.0,tt3874544
2023-09-17,Films (English),10,Jack Reacher: Never Go Back,,1.9667,2600000.0,tt3393786
2023-09-17,Films (Non-English),1,Once Upon a Crime,,1.7833,5400000.0,tt15944018
2023-09-17,Films (Non-English),2,Ehrengard: The Art of Seduction,,1.5833,4300000.0,tt27727074
2023-09-17,Films (Non-English),3,Rosa Peral's Tapes,,1.35,4000000.0,tt28687398
2023-09-17,Films (Non-English),4,Freestyle,,1.4667,1800000.0,tt28366647
2023-09-17,Films (Non-English),5,A Day and a Half,,1.6,1600000.0,tt20414642
2023-09-17,Films (Non-English),6,The Great Seduction,,1.6,1300000.0,tt14542504
2023-09-17,Films (Non-English),7,El Conde,,1.85,1200000.0,tt21113540
2023-09-17,Films (Non-English),9,Happy Ending,,1.55,900000.0,tt21087084
2023-09-17,Films (Non-English),10,Bhola Shankar,,2.6167,900000.0,tt8499724
2023-09-17,TV (English),1,ONE PIECE,1.0,7.5667,10000000.0,tt11737520
2023-09-17,TV (English),2,Virgin River,5.0,7.65,9600000.0,tt9077530
2023-09-17,TV (English),3,Who is Erin Carter?,1.0,5.7167,3800000.0,tt18075020
2023-09-17,TV (English),4,Top Boy,3.0,5.0833,3700000.0,tt1830379
2023-09-17,TV (English),5,Selling The OC,2.0,4.6333,2700000.0,tt15907000
