country_name,country_iso2,week,category,weekly_rank,show_title,season_title,imdb_tconst
Argentina,AR,2021-10-31,Films,7,Stuck Together,,tt13834006
Argentina,AR,2021-10-31,TV,7,Locke & Key,2.0,tt3007572
Argentina,AR,2021-10-31,Films,8,The Forgotten Battle,,tt10521092
Argentina,AR,2021-10-31,TV,8,My Name,1.0,tt12940504
Argentina,AR,2021-10-31,Films,9,Venom,,tt17528598
Argentina,AR,2021-10-31,TV,9,You,1.0,tt33513572
Argentina,AR,2021-10-31,Films,10,In for a Murder,,tt13377488
Argentina,AR,2021-10-31,TV,10,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-11-07,Films,1,Army of Thieves,,tt13024674
Argentina,AR,2021-11-07,Films,2,The Harder They Fall,,tt10696784
Argentina,AR,2021-11-07,TV,2,Maid,1.0,tt11337908
Argentina,AR,2021-11-07,Films,3,Love Hard,,tt10752004
Argentina,AR,2021-11-07,TV,3,You,3.0,tt33513572
Argentina,AR,2021-11-07,Films,4,Yara,,tt10608426
Argentina,AR,2021-11-07,TV,4,Squid Game,1.0,tt10919420
Argentina,AR,2021-11-07,Films,5,The Girl in the Spider's Web,,tt5177088
Argentina,AR,2021-11-07,TV,5,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-11-07,Films,6,Der Fall Collini,,tt8739752
Argentina,AR,2021-11-07,TV,6,The Five Juanas,1.0,tt15377930
Argentina,AR,2021-11-07,Films,7,Army of the Dead,,tt0993840
Argentina,AR,2021-11-07,TV,7,Maya and the Three,1.0,tt8787772
Argentina,AR,2021-11-07,TV,8,The Queen of Flow,1.0,tt8560918
Argentina,AR,2021-11-07,Films,9,Hypnotic,,tt8080204
Argentina,AR,2021-11-07,TV,9,"Yo soy Betty, la fea",1.0,tt0233127
Argentina,AR,2021-11-07,Films,10,Just Go With It,,tt1564367
Argentina,AR,2021-11-07,TV,10,Locke & Key,2.0,tt3007572
Argentina,AR,2021-11-14,Films,1,Red Notice,,tt7991608
Argentina,AR,2021-11-14,TV,1,Maid,1.0,tt11337908
Argentina,AR,2021-11-14,Films,2,Love Hard,,tt10752004
Argentina,AR,2021-11-14,TV,2,Squid Game,1.0,tt10919420
Argentina,AR,2021-11-14,Films,3,Yara,,tt10608426
Argentina,AR,2021-11-14,TV,3,Narcos: Mexico,3.0,tt8714904
Argentina,AR,2021-11-14,Films,4,211,,tt4976192
Argentina,AR,2021-11-14,TV,4,You,3.0,tt33513572
Argentina,AR,2021-11-14,Films,5,The Harder They Fall,,tt10696784
Argentina,AR,2021-11-14,TV,5,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-11-14,Films,6,Army of Thieves,,tt13024674
Argentina,AR,2021-11-14,TV,6,Arcane,1.0,tt11126994
Argentina,AR,2021-11-14,Films,7,7 Prisoners,,tt14168118
Argentina,AR,2021-11-14,TV,7,The Queen of Flow,1.0,tt8560918
